WBGene_ID,Gene_name,Cholinergic_(29),Cholinergic_(35),Cholinergic_(36),GABAergic,Dopaminergic,flp-1(+),BAG,URX/AQR/PQR,Touch_receptor,PVC/PVD,SDQ/ALN/PLN,CAN,RIA,RIC,DVA,Cluster_5,Cluster_10,Cluster_13,Cluster_16,Cluster_17,Cluster_21,Cluster_25,Cluster_27,Cluster_40,Pharyngeal_(33),Pharyngeal_(37)
WBGene00002038,hum-5,2491.67,108.15,280.17,43.74,84.78,37.05,13.82,1231.55,4.66,193.17,515.36,19.05,0,0,60.77,16.67,0,113.96,40.32,35.95,21.19,393.27,595.31,0,65.33,100.26
WBGene00003916,par-1,1431.02,663.56,802.73,1751.4,1278.21,924.14,898.02,429.14,1982.81,985.68,1068.67,1318.19,1813.58,480.37,1073.95,4349.53,1226.79,1552.05,510.8,2204.58,971.15,1288.71,1888.58,3589.04,2457.07,994.57
WBGene00018700,lmd-3,632.48,223.16,134.47,834.6,625.05,443.7,350.46,949.4,215.48,133.28,486.98,592.91,1093.61,494.42,45.11,119.3,474.4,130.62,370.09,174.74,1307.37,249.37,292.87,746.08,1211.38,1212.84
WBGene00000215,asp-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3
WBGene00006787,unc-52,78.79,0,0,123.48,236.83,38.37,0,0,82.73,180.82,65.51,1191.15,0,0,0,193.31,33.15,0,15.04,25,81.33,22.4,0,0,58.79,27.6
WBGene00012530,Y32F6A.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.88,0,0,49.56,0,0,11.38,0,0,0,0
WBGene00009008,F21D5.3,0,0,0,0,0,0,0,0,0,0,38.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001333,erm-1,0,0,39.26,57.81,67.15,0,0,77.23,15.08,911.66,69.49,165.14,77.81,0,22.18,0,52.41,0,40.68,0,13.58,69.34,0,0,0,46.57
WBGene00004760,sel-2,179.37,230.65,214.29,401.09,636.93,85.65,793.22,449.59,339.26,508.86,542.16,433.13,723.32,0,93.54,815.39,1056.77,27.4,249.12,99.12,285,456.54,700.27,192.31,121.11,267.45
WBGene00004951,spc-1,2718.42,1389.69,3378.15,3433.59,2653.81,2234.84,611.27,1440.93,2019.52,1543.77,4079.45,1740.74,1787.56,841.65,2944.28,677.01,1306.48,1280.11,1613.32,1152.46,745.61,2312.76,2993.39,3702.43,1430.07,2491.6
WBGene00002005,hsp-1,1478.06,894.03,1167.78,1419.87,1367,1201.06,1181.05,2126.45,1054.66,623.49,1192.53,1368.56,1659.43,1091.45,815.64,1444.98,1039.62,790.22,1542.72,1244.08,997.43,1463.81,920.52,3102.81,1437.17,783.36
WBGene00019682,K12H4.7,0,0,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00012097,abcf-2,152.04,0,47.74,151.46,417.02,259.2,150.8,517.54,284.25,912.12,156.55,917.02,232.28,1217.92,0,188.52,1007.02,157.99,285.46,323.33,413.63,427.22,303.09,0,136.19,385.22
WBGene00020579,T19D12.4,0,0,0,0,0,0,0,0,19.19,0,0,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00021697,gcn-1,153.45,594.96,351.6,213.04,342.8,183.48,127.22,242.5,125.85,108.25,221.26,488.94,305.24,261.73,109.83,204.01,201.71,391.67,90.14,280.13,109.83,267.41,131.72,309.84,218.78,215.4
WBGene00004187,prp-8,510.75,817.52,301.95,495.17,624.34,382.15,371.46,519.15,365.61,176.79,275.63,684.17,361.23,583.84,354.3,378.53,380.79,289.78,696.35,371.45,511.74,386.94,135.39,310.8,106.82,349.88
WBGene00008602,oac-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00018350,ifo-1,0,0,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00013228,Y56A3A.7,0,0,127.8,24.69,19,13.12,194.86,0,87.29,42.78,0,413.56,136.05,0,0,0,0,0,213.21,0,229.53,58.95,0,0,0,98.97
WBGene00003996,pgp-2,353.39,0,0,0,73.92,31.36,32.95,0,86.57,70.54,0,0,18.74,0,0,26.06,0,0,366.91,0,140.59,61.1,71.49,0,51.62,42.29
WBGene00004483,rps-14,1294.77,570.77,1775.12,1426.64,1159.16,2012.12,1611.53,1157.1,1833.48,716.49,1178.46,2941.25,931.04,804.33,2571.43,624.71,2175.09,996.57,3266.11,1372.62,1590.34,1839.37,1387.1,1582.05,1183.92,1786.44
WBGene00001173,egl-4,733.2,1735.28,661.14,1059.74,368.33,606.5,257.18,629.04,272.4,590.24,551.03,117.54,588.48,577.21,684.21,1560.61,434.89,664.11,485.21,1054.23,694.68,638.97,774.93,1513.83,847.36,250.85
WBGene00001819,haf-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.67,0,0,0,0,0,0,0,0
WBGene00004494,rps-25,1826.1,1182.41,3105.25,1093.17,1797.17,2575.23,1463.41,3248.2,1386.73,693.79,807.76,3091.82,1884.87,1747.9,2975.19,2232.77,2253.58,2758.84,2715.04,3030.43,3732,1991.98,1730.17,2186.76,1727.47,1906.76
WBGene00008506,tkt-1,28.41,105.66,41.45,144.78,25.06,9.26,130.52,55.74,146.97,7.53,149.77,129.78,183.69,116.32,36.67,0,0,0,0,43.91,0,14.45,38.62,0,57.59,44.36
WBGene00004259,pyr-1,68.89,0,0,44.06,0,43.86,33.62,32.05,100.55,67.95,158.71,118.68,236.31,0,0,149.09,107.32,0,113.34,54.14,103.82,67.96,56.9,0,191.53,55.91
